Repository;Meteor_Count;code_specific;code_packages;meteor version;implementation;code_meteor
qingsongma/blend;261;True;;1.4 and 1.5 jar;;
cfedermann/Appraise;53;False;;;;
moses-smt/mosesdecoder;26;False;MeteorScorer.cpp;meteor-1.4.jar;;
ImperialNLP/pysimt;16;True;cocoeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
kpu/MEMT;14;False;;meteor 1.0.jar;;
IBM/regen;14;False;NLTK;;;
alvations/stasis;13;True;meteor 1.5 jar;;;
facebookresearch/vizseq;10;False;nltk;;;
OpenNMT/OpenNMT-py;9;False;pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
jcjohnson/densecap;7;False;;meteor-1.5.jar;Xinlei Chen;
duyvuleo/Transformer-DyNet;7;False;;;;
forkarinda/MFN;7;False;nmtpytorch.cocoeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
bckim92/language-evaluation;7;False;cocoeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
amankhullar/mast;7;False;nlgeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
shubhamagarwal92/mmd;6;False;nlgeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
freesunshine0316/semantic-nmt;6;False;nlgeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
Maluuba/nlg-eval;5;False;pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
proycon/deepfrog;5;NA;;;;
wasiahmad/NeuralCodeSum;5;False;;meteor-1.5.jar;Xinlei Chen;
Yale-LILY/SummEval;5;False;nlgeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
yicheng-w/CommonSenseMultiHopQA;5;False;pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
UFAL-DSG/tgen;4;False;;;;
cuhksz-nlp/R2Gen;4;False;pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
vyraun/long-tailed;4;NA;;;;
stanojevic/beer;3;False;meteorscorer.cpp;;;
v-iashin/MDVC;3;False;pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
tylin/coco-caption;3;True;pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
UKPLab/emnlp2019-dualgraph;3;False;pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
microsoft/UniVL;2;False;;;;
YuxiXie/RL-for-Question-Generation;2;False;pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
ufal/neuralmonkey;2;False;;;;
titech-nlp/numeric-nlg;2;NA;;;;
neulab/compare-mt;2;False;;meteor?jar;;
QAQ-v/HetGT;2;NA;;;;
seanie12/Info-HCVAE;2;False;qgevalcap;meteor-1.5.jar;Xinlei Chen;
microsoft/GEM;1;NA;;;;
EleanorJiang/BlonDe;1;False;nlgeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
dykang/flownet;1;False;nlgeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
dykang/PASTEL;1;False;;;;
h4ste/mtft_zsl;1;False;;;;
HLTCHKUST/MulQG;1;False;nlgeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
whl97/LS-Score;1;False;;;;
nyu-dl/dl4mt-tutorial;1;NA;;;;
rashad101/RoMe;1;NA;;;;
hwanheelee1993/UMIC;1;False;;;;
cuhksz-nlp/R2GenCMN;1;False;cocoeval.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
castorini/pygaggle;1;NA;;;;
tuetschek/ratpred;1;False;;;;
Gitsamshi/WeakVRD-Captioning;1;False;cococaption.pycocoevalcap;meteor-1.5.jar;Xinlei Chen;
tkim-snu/GLACNet;1;True;windx0303/VIST-Challenge-NAACL-2018;meteor-1.5.jar;;
;;;;;;
;;;;;;
;;;;;;
salaniz/pycocoevalcap;;;;meteor-1.5.jar;Xinlei Chen;
Maluuba/nlg-eval;;;pycocoevalcap;;;
qgevalcap;;;copy of cocoevalcap;meteor-1.5.jar;Xinlei Chen;
qingsongma/blend;;;OWN;but jar files;;
nltk/nltk;;;OWN;https://www.cs.cmu.edu/~alavie/METEOR/pdf/Lavie-Agarwal-2007-METEOR.pdf;;
MeteorScorer.cpp;;;;meteor 1.0;;
windx0303/VIST-Challenge-NAACL-2018;;;OWN;meteor-1.5.jar;;
