code_meteor_github;count_meteor;code_meteor;code_packages;main.py;Python 3;paper mentions;info;meteor_mean_score
qingsongma/blend;261;True;OWN;;;16;;
cfedermann/Appraise;53;None;;False;;;;
moses-smt/mosesdecoder;26;True;;False;;;;
ImperialNLP/pysimt;16;True;derived from tylin/coco-caption;False;False;;;
IBM/regen;14;True;import nltk;False;;;;
kpu/MEMT;14;True;Java;False;;;;Java
alvations/stasis;13;True;external;False;;;;
facebookresearch/vizseq;10;True;import nltk;True;True;;;0.332000
OpenNMT/OpenNMT-py;9;None;;False;;;;
amankhullar/mast;7;True;identical to ImperialNLP/pysimt;False;False;;commands?;
bckim92/language-evaluation;7;True;identical to salaniz/pycocoevalcap;True;True;;no default tokenization;0.16722
duyvuleo/Transformer-DyNet;7;False;;False;;;;
forkarinda/MFN;7;True;identical to ImperialNLP/pysimt;False;False;;;
jcjohnson/densecap;7;True;derived from tylin/coco-caption;False;False;;;
freesunshine0316/semantic-nmt;6;False;;False;;;;
shubhamagarwal92/mmd;6;True;import nlgeval;False;;;;
Maluuba/nlg-eval;5;True;derived from tylin/coco-caption;True;True;8;;0.221483
proycon/deepfrog;5;None;;False;;;;
wasiahmad/NeuralCodeSum;5;True;derived from Maluuba/nlg-eval;False;True;;wrong whitespace handling;
Yale-LILY/SummEval;5;True;derived from Maluuba/nlg-eval;True;True;;;0.221483
yicheng-w/CommonSenseMultiHopQA;5;True;identical to tylin/coco-caption;False;False;;;
cuhksz-nlp/R2Gen;4;True;derived from tylin/coco-caption;False;True;;wrong whitespace handling;
UFAL-DSG/tgen;4;False;;False;;;;
vyraun/long-tailed;4;None;;False;;;;
stanojevic/beer;3;False;;False;;28;;
tylin/coco-caption;3;True;OWN;False;False;119;;
UKPLab/emnlp2019-dualgraph;3;True;import pycocoevalcap;False;;;;
v-iashin/MDVC;3;True;import pycocoevalcap;False;;;;
microsoft/UniVL;2;False;;False;;;;
neulab/compare-mt;2;True;OWN;True;True;;;takes ages
QAQ-v/HetGT;2;None;;False;;;;
seanie12/Info-HCVAE;2;True;identical to tylin/coco-caption;False;False;;;
titech-nlp/numeric-nlg;2;None;;False;;;;
ufal/neuralmonkey;2;False;;False;;;;
YuxiXie/RL-for-Question-Generation;2;True;import pycocoevalcap;False;;;;
castorini/pygaggle;1;None;;False;;;;
cuhksz-nlp/R2GenCMN;1;True;import pycocoevalcap;False;;;;
dykang/flownet;1;True;import nlgeval;False;;;;
dykang/PASTEL;1;None;;False;;;;
EleanorJiang/BlonDe;1;False;;False;;;;
Gitsamshi/WeakVRD-Captioning;1;True;extern tylin/coco-caption;False;;;;
h4ste/mtft_zsl;1;False;;False;;;;
HLTCHKUST/MulQG;1;True;extern Maluuba/nlg-eval;False;;;;
hwanheelee1993/UMIC;1;None;;False;;;;
microsoft/GEM;1;None;;False;;;;
nyu-dl/dl4mt-tutorial;1;None;;False;;;;
rashad101/RoMe;1;None;;False;;;;
tkim-snu/GLACNet;1;True;extern windx0303/VIST-Challenge-NAACL-2018;False;;;;
tuetschek/ratpred;1;False;;False;;;;
whl97/LS-Score;1;False;;False;;;;
facebookresearch/fairseq;;True;import nltk;;;30;;torch too big
nltk/nltk;;True;OWN;True;;43;;0.382306
salaniz/pycocoevalcap;;True;derived from tylin/coco-caption;True;True;;;0.218336
WebNLG/GenerationEval;;True;OWN;True;True;47;;0.217303
windx0303/VIST-Challenge-NAACL-2018;;True;OWN;False;;;;Java
